nameofregion,vtor.perv,vibitie,vvedenie,zelen,commserv,income,vrp,rozhdaemost,sqmetr
Belgorodregion,57481,70467,61,1165,18661,18,37789,881701,8,52353
Bryanskregion,38537,49173,33,452,8506,18,33105,398619,8,35457
Vladimirregion,56314,49594,349,829,21370,18,29603,552811,7,34930
Voronezhregion,56473,64841,87,1864,30455,18,36687,546329,8,47351
Ivanovoregion,44300,50304,15,363,6899,22,29967,306145,7,30276
Kalugaregion,57008,61458,13,862,12420,13,36624,659591,8,46839
Kostromaregion,48317,57851,67,335,6375,18,29764,386695,8,36872
Kurskregion,57983,59869,295,566,8990,14,34521,627321,8,37199
Lipetskregion,57230,55570,46,1235,9512,18,36568,752926,8,43122
Moscowregion,91089,122493,2114,9215,64278,33,57353,882876,9,54036
OryolRegion,49221,60150,18,308,4058,12,31368,468019,7,38704
RyazanOblast,56526,61571,115,757,10909,19,32165,487276,8,45304
Smolenskregion,38745,52916,50,483,12780,15,32234,460597,7,33640
TambovRegion,44551,46560,77,766,5541,13,31472,434613,7,34336
Tverregion,63048,59607,64,597,15987,16,32303,448418,7,35179
Tularegion,73986,68435,51,836,6308,20,33482,602298,7,50970
Yaroslavlregion,71640,59128,57,760,9940,21,35128,559180,8,39045
CityofMoscowcapitaloftheRussianFederationcityoffederalsignificance,233894,279344,194,7807,123099,32,95149,1935205,10,78636
RepublicofKarelia,62448,59254,60,325,11201,23,37080,1059960,8,43978
KomiRepublic,54055,61535,136,179,28906,19,40978,941763,9,41621
Arhangelskregion,74866,84675,279,440,31769,28,40919,881816,8,48245
VologdaRegion,48693,56998,110,639,7299,18,33276,659727,9,41623
Kaliningradregion,73131,74921,1622,1271,12085,14,34000,778692,9,40829
Leningradregion,63298,108001,1500,3386,36792,25,38968,1487364,7,51722
Novgorodregion,45376,52322,43,308,4028,23,30956,580495,8,32600
Pskovregion,46076,46434,405,315,5749,15,31055,356595,8,37579
SaintPetersburgcityoffederalsignificance,154431,168547,102,3464,41256,30,62251,1754423,10,63747
RepublicofAdygea(Adygea),62898,71069,1,307,2007,17,37630,366702,9,40125
RepublicofKalmykia,46618,41517,103,122,1933,10,22330,371956,10,33916
RepublicofCrimea,75211,83380,378,743,7992,18,28462,308848,9,50659
Krasnodarregion,72987,80418,752,6283,18983,19,45777,562926,10,43829
Astrakhanregion,49620,71300,348,543,2179,14,28025,661245,10,33112
Volgogradregion,47412,55429,392,797,30611,21,29260,427069,8,43385
Rostovregion,58482,65442,52,2686,41004,22,37335,483970,8,45430
TheRepublicofDagestan,55174,35412,5,1031,5775,13,32726,259076,14,24347
TheRepublicofIngushetia,38866,42776,13,112,539,6,19501,148587,16,30325
Kabardino-BalkarianRepublic,58284,31921,17,514,3777,10,27143,229153,11,33703
Karachay-CherkessRepublic,52553,42745,2,235,2575,13,21558,235355,10,33769
RepublicofNorthOssetia-Alania,49157,41185,423,322,14494,11,27093,293366,11,35581
ChechenRepublic,53478,48256,116,1025,4377,10,28006,177860,19,29453
Stavropolregion,45796,45368,353,1479,44418,14,27093,367687,9,33084
RepublicofBashkortostan,67047,76518,221,2906,101725,21,34110,499045,10,45548
MariElRepublic,43430,50030,119,372,3325,16,24157,329660,9,38197
TheRepublicofMordovia,45579,46549,38,341,5388,20,23695,384636,7,39806
RepublicofTatarstan(Tatarstan),92033,97259,32,3012,38845,22,41945,888039,10,52336
Udmurtrepublic,57702,63628,35,841,18953,21,29050,565472,9,40083
ChuvashRepublic-Chuvashia,52103,58774,163,717,14068,17,25050,326607,9,36801
Permregion,63533,70313,71,1317,94186,23,34338,677760,10,39694
Kirovregion,50655,57607,578,509,15898,19,27827,387458,8,31076
NizhnyNovgorodRegion,85417,88973,273,1591,59825,30,39212,597431,8,63973
Orenburgregion,39724,43663,59,1102,17360,23,27408,721025,9,33319
Penzaregion,51278,58396,100,856,24640,18,26813,418946,7,39611
SamaraRegion,54678,60354,63,1803,52395,24,34279,675335,8,35445
Saratovregion,46631,47650,18,1181,20029,14,27473,422955,8,35688
Ulyanovskregion,50745,58303,34,858,7001,21,28041,411847,8,36420
Kurganregion,42637,45401,190,281,20616,16,24382,330642,9,33285
Sverdlovskregion,75985,87183,635,2888,141202,24,42507,710381,10,59971
Tyumenregion,66822,75417,270,2777,151326,25,55129,2992775,12,53009
Chelyabinskregion,42691,53614,270,1727,63272,18,30895,595385,10,36185
